SheetNo,Term,Gender,MinimumFaceAmount,MaximumFaceAmount,HealthClass,MinimumAge,MaximumAge,StartingRow,Column,PolicyFee
11,10,Female,250000,499999,Standard Non-Tob,20,80,10,15,64
11,10,Female,250000,499999,Preferred Tob,20,75,10,16,64
11,10,Female,250000,499999,Standard Tob,20,75,10,17,64
12,15,Male,250000,499999,Preferred Plus Non-Tob,20,75,10,2,64
12,15,Male,250000,499999,Preferred Non-Tob,20,75,10,3,64
12,15,Male,250000,499999,Standard Plus Non-Tob,20,75,10,4,64
12,15,Male,250000,499999,Standard Non-Tob,20,75,10,4,64
12,15,Male,250000,499999,Preferred Tob,20,70,10,6,64
12,15,Male,250000,499999,Standard Tob,20,70,10,7,64
12,15,Female,250000,499999,Preferred Plus Non-Tob,20,75,10,12,64
12,15,Female,250000,499999,Preferred Non-Tob,20,75,10,13,64
12,15,Female,250000,499999,Standard Plus Non-Tob,20,75,10,14,64
12,15,Female,250000,499999,Standard Non-Tob,20,75,10,15,64
12,15,Female,250000,499999,Preferred Tob,20,70,10,16,64
12,15,Female,250000,499999,Standard Tob,20,70,10,17,64
13,20,Male,250000,499999,Preferred Plus Non-Tob,20,70,10,2,64
13,20,Male,250000,499999,Preferred Non-Tob,20,70,10,3,64
13,20,Male,250000,499999,Standard Plus Non-Tob,20,70,10,4,64
13,20,Male,250000,499999,Standard Non-Tob,20,70,10,4,64
13,20,Male,250000,499999,Preferred Tob,20,65,10,6,64
13,20,Male,250000,499999,Standard Tob,20,65,10,7,64
13,20,Female,250000,499999,Preferred Plus Non-Tob,20,70,10,12,64
13,20,Female,250000,499999,Preferred Non-Tob,20,70,10,13,64
13,20,Female,250000,499999,Standard Plus Non-Tob,20,70,10,14,64
13,20,Female,250000,499999,Standard Non-Tob,20,70,10,15,64
13,20,Female,250000,499999,Preferred Tob,20,65,10,16,64
13,20,Female,250000,499999,Standard Tob,20,65,10,17,64
14,25,Male,250000,499999,Preferred Plus Non-Tob,20,63,10,2,64
14,25,Male,250000,499999,Preferred Non-Tob,20,63,10,3,64
14,25,Male,250000,499999,Standard Plus Non-Tob,20,63,10,4,64
14,25,Male,250000,499999,Standard Non-Tob,20,63,10,4,64
14,25,Male,250000,499999,Preferred Tob,20,58,10,6,64
14,25,Male,250000,499999,Standard Tob,20,58,10,7,64
14,25,Female,250000,499999,Preferred Plus Non-Tob,20,63,10,12,64
14,25,Female,250000,499999,Preferred Non-Tob,20,63,10,13,64
14,25,Female,250000,499999,Standard Plus Non-Tob,20,63,10,14,64
14,25,Female,250000,499999,Standard Non-Tob,20,63,10,15,64
14,25,Female,250000,499999,Preferred Tob,20,58,10,16,64
14,25,Female,250000,499999,Standard Tob,20,58,10,17,64
15,30,Male,250000,499999,Preferred Plus Non-Tob,20,55,10,2,64
15,30,Male,250000,499999,Preferred Non-Tob,20,55,10,3,64
15,30,Male,250000,499999,Standard Plus Non-Tob,20,55,10,4,64
15,30,Male,250000,499999,Standard Non-Tob,20,55,10,4,64
15,30,Male,250000,499999,Preferred Tob,20,50,10,6,64
15,30,Male,250000,499999,Standard Tob,20,50,10,7,64
15,30,Female,250000,499999,Preferred Plus Non-Tob,20,55,10,12,64
15,30,Female,250000,499999,Preferred Non-Tob,20,55,10,13,64
15,30,Female,250000,499999,Standard Plus Non-Tob,20,55,10,14,64
15,30,Female,250000,499999,Standard Non-Tob,20,55,10,15,64
15,30,Female,250000,499999,Preferred Tob,20,50,10,16,64
15,30,Female,250000,499999,Standard Tob,20,50,10,17,64
16,35,Male,250000,499999,Preferred Plus Non-Tob,20,45,10,2,64
16,35,Male,250000,499999,Preferred Non-Tob,20,45,10,3,64
16,35,Male,250000,499999,Standard Plus Non-Tob,20,45,10,4,64
16,35,Male,250000,499999,Standard Non-Tob,20,45,10,4,64
16,35,Male,250000,499999,Preferred Tob,20,40,10,6,64
16,35,Male,250000,499999,Standard Tob,20,40,10,7,64
16,35,Female,250000,499999,Preferred Plus Non-Tob,20,45,10,12,64
16,35,Female,250000,499999,Preferred Non-Tob,20,45,10,13,64
16,35,Female,250000,499999,Standard Plus Non-Tob,20,45,10,14,64
16,35,Female,250000,499999,Standard Non-Tob,20,45,10,15,64
16,35,Female,250000,499999,Preferred Tob,20,40,10,16,64
16,35,Female,250000,499999,Standard Tob,20,40,10,17,64
17,10,Male,500000,999999,Preferred Plus Non-Tob,20,80,10,2,64
17,10,Male,500000,999999,Preferred Non-Tob,20,80,10,3,64
17,10,Male,500000,999999,Standard Plus Non-Tob,20,80,10,4,64
17,10,Male,500000,999999,Standard Non-Tob,20,80,10,4,64
17,10,Male,500000,999999,Preferred Tob,20,75,10,6,64
17,10,Male,500000,999999,Standard Tob,20,75,10,7,64
17,10,Female,500000,999999,Preferred Plus Non-Tob,20,80,10,12,64
17,10,Female,500000,999999,Preferred Non-Tob,20,80,10,13,64
17,10,Female,500000,999999,Standard Plus Non-Tob,20,80,10,14,64
17,10,Female,500000,999999,Standard Non-Tob,20,80,10,15,64
17,10,Female,500000,999999,Preferred Tob,20,75,10,16,64
17,10,Female,500000,999999,Standard Tob,20,75,10,17,64
18,15,Male,500000,999999,Preferred Plus Non-Tob,20,75,10,2,64
18,15,Male,500000,999999,Preferred Non-Tob,20,75,10,3,64
18,15,Male,500000,999999,Standard Plus Non-Tob,20,75,10,4,64
18,15,Male,500000,999999,Standard Non-Tob,20,75,10,4,64
18,15,Male,500000,999999,Preferred Tob,20,70,10,6,64
18,15,Male,500000,999999,Standard Tob,20,70,10,7,64
18,15,Female,500000,999999,Preferred Plus Non-Tob,20,75,10,12,64
18,15,Female,500000,999999,Preferred Non-Tob,20,75,10,13,64
18,15,Female,500000,999999,Standard Plus Non-Tob,20,75,10,14,64
18,15,Female,500000,999999,Standard Non-Tob,20,75,10,15,64
18,15,Female,500000,999999,Preferred Tob,20,70,10,16,64
18,15,Female,500000,999999,Standard Tob,20,70,10,17,64
19,20,Male,500000,999999,Preferred Plus Non-Tob,20,70,10,2,64
19,20,Male,500000,999999,Preferred Non-Tob,20,70,10,3,64
19,20,Male,500000,999999,Standard Plus Non-Tob,20,70,10,4,64
19,20,Male,500000,999999,Standard Non-Tob,20,70,10,4,64
19,20,Male,500000,999999,Preferred Tob,20,65,10,6,64
19,20,Male,500000,999999,Standard Tob,20,65,10,7,64
19,20,Female,500000,999999,Preferred Plus Non-Tob,20,70,10,12,64
19,20,Female,500000,999999,Preferred Non-Tob,20,70,10,13,64
19,20,Female,500000,999999,Standard Plus Non-Tob,20,70,10,14,64
19,20,Female,500000,999999,Standard Non-Tob,20,70,10,15,64
19,20,Female,500000,999999,Preferred Tob,20,65,10,16,64
19,20,Female,500000,999999,Standard Tob,20,65,10,17,64
20,25,Male,500000,999999,Preferred Plus Non-Tob,20,63,10,2,64
20,25,Male,500000,999999,Preferred Non-Tob,20,63,10,3,64
20,25,Male,500000,999999,Standard Plus Non-Tob,20,63,10,4,64
20,25,Male,500000,999999,Standard Non-Tob,20,63,10,4,64
20,25,Male,500000,999999,Preferred Tob,20,58,10,6,64
20,25,Male,500000,999999,Standard Tob,20,58,10,7,64
20,25,Female,500000,999999,Preferred Plus Non-Tob,20,63,10,12,64
20,25,Female,500000,999999,Preferred Non-Tob,20,63,10,13,64
20,25,Female,500000,999999,Standard Plus Non-Tob,20,63,10,14,64
20,25,Female,500000,999999,Standard Non-Tob,20,63,10,15,64
20,25,Female,500000,999999,Preferred Tob,20,58,10,16,64
20,25,Female,500000,999999,Standard Tob,20,58,10,17,64
21,30,Male,500000,999999,Preferred Plus Non-Tob,20,55,10,2,64
21,30,Male,500000,999999,Preferred Non-Tob,20,55,10,3,64
21,30,Male,500000,999999,Standard Plus Non-Tob,20,55,10,4,64
21,30,Male,500000,999999,Standard Non-Tob,20,55,10,4,64
21,30,Male,500000,999999,Preferred Tob,20,50,10,6,64
21,30,Male,500000,999999,Standard Tob,20,50,10,7,64
21,30,Female,500000,999999,Preferred Plus Non-Tob,20,55,10,12,64
21,30,Female,500000,999999,Preferred Non-Tob,20,55,10,13,64
21,30,Female,500000,999999,Standard Plus Non-Tob,20,55,10,14,64
21,30,Female,500000,999999,Standard Non-Tob,20,55,10,15,64
21,30,Female,500000,999999,Preferred Tob,20,50,10,16,64
21,30,Female,500000,999999,Standard Tob,20,50,10,17,64
22,35,Male,500000,999999,Preferred Plus Non-Tob,20,45,10,2,64
22,35,Male,500000,999999,Preferred Non-Tob,20,45,10,3,64
22,35,Male,500000,999999,Standard Plus Non-Tob,20,45,10,4,64
22,35,Male,500000,999999,Standard Non-Tob,20,45,10,4,64
22,35,Male,500000,999999,Preferred Tob,20,40,10,6,64
22,35,Male,500000,999999,Standard Tob,20,40,10,7,64
22,35,Female,500000,999999,Preferred Plus Non-Tob,20,45,10,12,64
22,35,Female,500000,999999,Preferred Non-Tob,20,45,10,13,64
22,35,Female,500000,999999,Standard Plus Non-Tob,20,45,10,14,64
22,35,Female,500000,999999,Standard Non-Tob,20,45,10,15,64
22,35,Female,500000,999999,Preferred Tob,20,40,10,16,64
22,35,Female,500000,999999,Standard Tob,20,40,10,17,64
23,10,Male,1000000,100000000,Preferred Plus Non-Tob,20,80,10,2,64
23,10,Male,1000000,100000000,Preferred Non-Tob,20,80,10,3,64
23,10,Male,1000000,100000000,Standard Plus Non-Tob,20,80,10,4,64
23,10,Male,1000000,100000000,Standard Non-Tob,20,80,10,4,64
23,10,Male,1000000,100000000,Preferred Tob,20,75,10,6,64
23,10,Male,1000000,100000000,Standard Tob,20,75,10,7,64
23,10,Female,1000000,100000000,Preferred Plus Non-Tob,20,80,10,12,64
23,10,Female,1000000,100000000,Preferred Non-Tob,20,80,10,13,64
23,10,Female,1000000,100000000,Standard Plus Non-Tob,20,80,10,14,64
23,10,Female,1000000,100000000,Standard Non-Tob,20,80,10,15,64
23,10,Female,1000000,100000000,Preferred Tob,20,75,10,16,64
23,10,Female,1000000,100000000,Standard Tob,20,75,10,17,64
24,15,Male,1000000,100000000,Preferred Plus Non-Tob,20,75,10,2,64
24,15,Male,1000000,100000000,Preferred Non-Tob,20,75,10,3,64
24,15,Male,1000000,100000000,Standard Plus Non-Tob,20,75,10,4,64
24,15,Male,1000000,100000000,Standard Non-Tob,20,75,10,4,64
24,15,Male,1000000,100000000,Preferred Tob,20,70,10,6,64
24,15,Male,1000000,100000000,Standard Tob,20,70,10,7,64
24,15,Female,1000000,100000000,Preferred Plus Non-Tob,20,75,10,12,64
24,15,Female,1000000,100000000,Preferred Non-Tob,20,75,10,13,64
24,15,Female,1000000,100000000,Standard Plus Non-Tob,20,75,10,14,64
24,15,Female,1000000,100000000,Standard Non-Tob,20,75,10,15,64
24,15,Female,1000000,100000000,Preferred Tob,20,70,10,16,64
24,15,Female,1000000,100000000,Standard Tob,20,70,10,17,64
25,20,Male,1000000,100000000,Preferred Plus Non-Tob,20,70,10,2,64
25,20,Male,1000000,100000000,Preferred Non-Tob,20,70,10,3,64
25,20,Male,1000000,100000000,Standard Plus Non-Tob,20,70,10,4,64
25,20,Male,1000000,100000000,Standard Non-Tob,20,70,10,4,64
25,20,Male,1000000,100000000,Preferred Tob,20,65,10,6,64
25,20,Male,1000000,100000000,Standard Tob,20,65,10,7,64
25,20,Female,1000000,100000000,Preferred Plus Non-Tob,20,70,10,12,64
25,20,Female,1000000,100000000,Preferred Non-Tob,20,70,10,13,64
25,20,Female,1000000,100000000,Standard Plus Non-Tob,20,70,10,14,64
25,20,Female,1000000,100000000,Standard Non-Tob,20,70,10,15,64
25,20,Female,1000000,100000000,Preferred Tob,20,65,10,16,64
25,20,Female,1000000,100000000,Standard Tob,20,65,10,17,64
26,25,Male,1000000,100000000,Preferred Plus Non-Tob,20,63,10,2,64
26,25,Male,1000000,100000000,Preferred Non-Tob,20,63,10,3,64
26,25,Male,1000000,100000000,Standard Plus Non-Tob,20,63,10,4,64
26,25,Male,1000000,100000000,Standard Non-Tob,20,63,10,4,64
26,25,Male,1000000,100000000,Preferred Tob,20,58,10,6,64
26,25,Male,1000000,100000000,Standard Tob,20,58,10,7,64
26,25,Female,1000000,100000000,Preferred Plus Non-Tob,20,63,10,12,64
26,25,Female,1000000,100000000,Preferred Non-Tob,20,63,10,13,64
26,25,Female,1000000,100000000,Standard Plus Non-Tob,20,63,10,14,64
26,25,Female,1000000,100000000,Standard Non-Tob,20,63,10,15,64
26,25,Female,1000000,100000000,Preferred Tob,20,58,10,16,64
26,25,Female,1000000,100000000,Standard Tob,20,58,10,17,64
27,30,Male,1000000,100000000,Preferred Plus Non-Tob,20,55,10,2,64
27,30,Male,1000000,100000000,Preferred Non-Tob,20,55,10,3,64
27,30,Male,1000000,100000000,Standard Plus Non-Tob,20,55,10,4,64
27,30,Male,1000000,100000000,Standard Non-Tob,20,55,10,4,64
27,30,Male,1000000,100000000,Preferred Tob,20,50,10,6,64
27,30,Male,1000000,100000000,Standard Tob,20,50,10,7,64
27,30,Female,1000000,100000000,Preferred Plus Non-Tob,20,55,10,12,64
27,30,Female,1000000,100000000,Preferred Non-Tob,20,55,10,13,64
27,30,Female,1000000,100000000,Standard Plus Non-Tob,20,55,10,14,64
27,30,Female,1000000,100000000,Standard Non-Tob,20,55,10,15,64
27,30,Female,1000000,100000000,Preferred Tob,20,50,10,16,64
27,30,Female,1000000,100000000,Standard Tob,20,50,10,17,64
28,35,Male,1000000,100000000,Preferred Plus Non-Tob,20,45,10,2,64
28,35,Male,1000000,100000000,Preferred Non-Tob,20,45,10,3,64
28,35,Male,1000000,100000000,Standard Plus Non-Tob,20,45,10,4,64
28,35,Male,1000000,100000000,Standard Non-Tob,20,45,10,4,64
28,35,Male,1000000,100000000,Preferred Tob,20,40,10,6,64
28,35,Male,1000000,100000000,Standard Tob,20,40,10,7,64
28,35,Female,1000000,100000000,Preferred Plus Non-Tob,20,45,10,12,64
28,35,Female,1000000,100000000,Preferred Non-Tob,20,45,10,13,64
28,35,Female,1000000,100000000,Standard Plus Non-Tob,20,45,10,14,64
28,35,Female,1000000,100000000,Standard Non-Tob,20,45,10,15,64
28,35,Female,1000000,100000000,Preferred Tob,20,40,10,16,64
28,35,Female,1000000,100000000,Standard Tob,20,40,10,17,64
