SheetNo,Term,Gender,MinimumFaceAmount,MaximumFaceAmount,HealthClass,MinimumAge,MaximumAge,StartingRow,Column,PolicyFee
4,20,Female,500000,999999,Preferred Non-Tob,18,70,7,40,65
4,20,Female,500000,999999,Standard Non-Tob,18,70,7,41,65
4,20,Female,500000,999999,Standard Tob,18,62,7,3,42,65
4,20,Female,1000000,100000000,Preferred Plus Non-Tob,18,70,7,45,65
4,20,Female,1000000,100000000,Preferred Non-Tob,18,70,7,46,65
4,20,Female,1000000,100000000,Standard Non-Tob,18,70,7,47,65
4,20,Female,1000000,100000000,Standard Tob,18,62,7,48,65
5,25,Male,100000,249999,Preferred Plus Non-Tob,18,60,7,3,65
5,25,Male,100000,249999,Preferred Non-Tob,18,60,7,4,65
5,25,Male,100000,249999,Standard Non-Tob,18,60,7,5,65
5,25,Male,100000,249999,Standard Tob,18,52,7,6,65
5,25,Male,250000,499999,Preferred Plus Non-Tob,18,60,7,9,65
5,25,Male,250000,499999,Preferred Non-Tob,18,60,7,10,65
5,25,Male,250000,499999,Standard Non-Tob,18,60,7,11,65
5,25,Male,250000,499999,Standard Tob,18,52,7,12,65
5,25,Male,500000,999999,Preferred Plus Non-Tob,18,60,7,15,65
5,25,Male,500000,999999,Preferred Non-Tob,18,60,7,16,65
5,25,Male,500000,999999,Standard Non-Tob,18,60,7,17,65
5,25,Male,500000,999999,Standard Tob,18,52,7,18,65
5,25,Male,1000000,100000000,Preferred Plus Non-Tob,18,60,7,21,65
5,25,Male,1000000,100000000,Preferred Non-Tob,18,60,7,22,65
5,25,Male,1000000,100000000,Standard Non-Tob,18,60,7,23,65
5,25,Male,1000000,100000000,Standard Tob,18,52,7,24,65
5,25,Female,100000,249999,Preferred Plus Non-Tob,18,60,7,27,65
5,25,Female,100000,249999,Preferred Non-Tob,18,60,7,28,65
5,25,Female,100000,249999,Standard Non-Tob,18,60,7,29,65
5,25,Female,100000,249999,Standard Tob,18,52,7,30,65
5,25,Female,250000,499999,Preferred Plus Non-Tob,18,60,7,33,65
5,25,Female,250000,499999,Preferred Non-Tob,18,60,7,34,65
5,25,Female,250000,499999,Standard Non-Tob,18,60,7,35,65
5,25,Female,250000,499999,Standard Tob,18,52,7,36,65
5,25,Female,500000,999999,Preferred Plus Non-Tob,18,60,7,39,65
5,25,Female,500000,999999,Preferred Non-Tob,18,60,7,40,65
5,25,Female,500000,999999,Standard Non-Tob,18,60,7,41,65
5,25,Female,500000,999999,Standard Tob,18,52,7,3,42,65
5,25,Female,1000000,100000000,Preferred Plus Non-Tob,18,60,7,45,65
5,25,Female,1000000,100000000,Preferred Non-Tob,18,60,7,46,65
5,25,Female,1000000,100000000,Standard Non-Tob,18,60,7,47,65
5,25,Female,1000000,100000000,Standard Tob,18,52,7,48,65
6,30,Male,100000,249999,Preferred Plus Non-Tob,18,58,7,3,65
6,30,Male,100000,249999,Preferred Non-Tob,18,58,7,4,65
6,30,Male,100000,249999,Standard Non-Tob,18,58,7,5,65
6,30,Male,100000,249999,Standard Tob,18,43,7,6,65
6,30,Male,250000,499999,Preferred Plus Non-Tob,18,58,7,9,65
6,30,Male,250000,499999,Preferred Non-Tob,18,58,7,10,65
6,30,Male,250000,499999,Standard Non-Tob,18,58,7,11,65
6,30,Male,250000,499999,Standard Tob,18,43,7,12,65
6,30,Male,500000,999999,Preferred Plus Non-Tob,18,58,7,15,65
6,30,Male,500000,999999,Preferred Non-Tob,18,58,7,16,65
6,30,Male,500000,999999,Standard Non-Tob,18,58,7,17,65
6,30,Male,500000,999999,Standard Tob,18,43,7,18,65
6,30,Male,1000000,100000000,Preferred Plus Non-Tob,18,58,7,21,65
6,30,Male,1000000,100000000,Preferred Non-Tob,18,58,7,22,65
6,30,Male,1000000,100000000,Standard Non-Tob,18,58,7,23,65
6,30,Male,1000000,100000000,Standard Tob,18,43,7,24,65
6,30,Female,100000,249999,Preferred Plus Non-Tob,18,58,7,27,65
6,30,Female,100000,249999,Preferred Non-Tob,18,58,7,28,65
6,30,Female,100000,249999,Standard Non-Tob,18,58,7,29,65
6,30,Female,100000,249999,Standard Tob,18,43,7,30,65
6,30,Female,250000,499999,Preferred Plus Non-Tob,18,58,7,33,65
6,30,Female,250000,499999,Preferred Non-Tob,18,58,7,34,65
6,30,Female,250000,499999,Standard Non-Tob,18,58,7,35,65
6,30,Female,250000,499999,Standard Tob,18,43,7,36,65
6,30,Female,500000,999999,Preferred Plus Non-Tob,18,58,7,39,65
6,30,Female,500000,999999,Preferred Non-Tob,18,58,7,40,65
6,30,Female,500000,999999,Standard Non-Tob,18,58,7,41,65
6,30,Female,500000,999999,Standard Tob,18,43,7,3,42,65
6,30,Female,1000000,100000000,Preferred Plus Non-Tob,18,58,7,45,65
6,30,Female,1000000,100000000,Preferred Non-Tob,18,58,7,46,65
6,30,Female,1000000,100000000,Standard Non-Tob,18,58,7,47,65
6,30,Female,1000000,100000000,Standard Tob,18,43,7,48,65
7,35,Male,100000,249999,Preferred Plus Non-Tob,18,50,7,3,65
7,35,Male,100000,249999,Preferred Non-Tob,18,50,7,4,65
7,35,Male,100000,249999,Standard Non-Tob,18,50,7,5,65
7,35,Male,100000,249999,Standard Tob,18,40,7,6,65
7,35,Male,250000,499999,Preferred Plus Non-Tob,18,50,7,9,65
7,35,Male,250000,499999,Preferred Non-Tob,18,50,7,10,65
7,35,Male,250000,499999,Standard Non-Tob,18,50,7,11,65
7,35,Male,250000,499999,Standard Tob,18,40,7,12,65
7,35,Male,500000,999999,Preferred Plus Non-Tob,18,50,7,15,65
7,35,Male,500000,999999,Preferred Non-Tob,18,50,7,16,65
7,35,Male,500000,999999,Standard Non-Tob,18,50,7,17,65
7,35,Male,500000,999999,Standard Tob,18,40,7,18,65
7,35,Male,1000000,100000000,Preferred Plus Non-Tob,18,50,7,21,65
7,35,Male,1000000,100000000,Preferred Non-Tob,18,50,7,22,65
7,35,Male,1000000,100000000,Standard Non-Tob,18,50,7,23,65
7,35,Male,1000000,100000000,Standard Tob,18,40,7,24,65
7,35,Female,100000,249999,Preferred Plus Non-Tob,18,50,7,27,65
7,35,Female,100000,249999,Preferred Non-Tob,18,50,7,28,65
7,35,Female,100000,249999,Standard Non-Tob,18,50,7,29,65
7,35,Female,100000,249999,Standard Tob,18,40,7,30,65
7,35,Female,250000,499999,Preferred Plus Non-Tob,18,50,7,33,65
7,35,Female,250000,499999,Preferred Non-Tob,18,50,7,34,65
7,35,Female,250000,499999,Standard Non-Tob,18,50,7,35,65
7,35,Female,250000,499999,Standard Tob,18,40,7,36,65
7,35,Female,500000,999999,Preferred Plus Non-Tob,18,50,7,39,65
7,35,Female,500000,999999,Preferred Non-Tob,18,50,7,40,65
7,35,Female,500000,999999,Standard Non-Tob,18,50,7,41,65
7,35,Female,500000,999999,Standard Tob,18,40,7,3,42,65
7,35,Female,1000000,100000000,Preferred Plus Non-Tob,18,50,7,45,65
7,35,Female,1000000,100000000,Preferred Non-Tob,18,50,7,46,65
7,35,Female,1000000,100000000,Standard Non-Tob,18,50,7,47,65
7,35,Female,1000000,100000000,Standard Tob,18,40,7,48,65
8,40,Male,100000,249999,Preferred Plus Non-Tob,18,45,7,3,65
8,40,Male,100000,249999,Preferred Non-Tob,18,45,7,4,65
8,40,Male,100000,249999,Standard Non-Tob,18,45,7,5,65
8,40,Male,100000,249999,Standard Tob,18,40,7,6,65
8,40,Male,250000,499999,Preferred Plus Non-Tob,18,45,7,9,65
8,40,Male,250000,499999,Preferred Non-Tob,18,45,7,10,65
8,40,Male,250000,499999,Standard Non-Tob,18,45,7,11,65
8,40,Male,250000,499999,Standard Tob,18,40,7,12,65
8,40,Male,500000,999999,Preferred Plus Non-Tob,18,45,7,15,65
8,40,Male,500000,999999,Preferred Non-Tob,18,45,7,16,65
8,40,Male,500000,999999,Standard Non-Tob,18,45,7,17,65
8,40,Male,500000,999999,Standard Tob,18,40,7,18,65
8,40,Male,1000000,100000000,Preferred Plus Non-Tob,18,45,7,21,65
8,40,Male,1000000,100000000,Preferred Non-Tob,18,45,7,22,65
8,40,Male,1000000,100000000,Standard Non-Tob,18,45,7,23,65
8,40,Male,1000000,100000000,Standard Tob,18,40,7,24,65
8,40,Female,100000,249999,Preferred Plus Non-Tob,18,45,7,27,65
8,40,Female,100000,249999,Preferred Non-Tob,18,45,7,28,65
8,40,Female,100000,249999,Standard Non-Tob,18,45,7,29,65
8,40,Female,100000,249999,Standard Tob,18,40,7,30,65
8,40,Female,250000,499999,Preferred Plus Non-Tob,18,45,7,33,65
8,40,Female,250000,499999,Preferred Non-Tob,18,45,7,34,65
8,40,Female,250000,499999,Standard Non-Tob,18,45,7,40,65
8,40,Female,250000,499999,Standard Tob,18,40,7,36,65
8,40,Female,500000,999999,Preferred Plus Non-Tob,18,45,7,39,65
8,40,Female,500000,999999,Preferred Non-Tob,18,45,7,40,65
8,40,Female,500000,999999,Standard Non-Tob,18,45,7,41,65
8,40,Female,500000,999999,Standard Tob,18,40,7,3,42,65
8,40,Female,1000000,100000000,Preferred Plus Non-Tob,18,45,7,45,65
8,40,Female,1000000,100000000,Preferred Non-Tob,18,45,7,46,65
8,40,Female,1000000,100000000,Standard Non-Tob,18,45,7,47,65
8,40,Female,1000000,100000000,Standard Tob,18,40,7,48,65
